29,29,228
0,13
0,17
0,20
0,22
0,25
1,2
1,5
1,14
1,18
1,21
1,23
1,26
2,3
2,6
2,10
2,11
2,12
2,22
3,2
3,6
3,7
3,9
3,11
3,12
3,13
3,14
3,18
3,23
3,25
4,2
4,3
4,7
4,8
4,9
4,10
4,13
4,14
4,15
4,16
4,19
4,22
4,23
4,26
5,2
5,3
5,6
5,9
5,10
5,11
5,15
5,16
5,17
5,20
5,23
5,24
5,27
6,0
6,3
6,7
6,10
6,12
6,17
6,21
6,25
7,1
7,8
7,13
7,14
7,25
8,2
8,3
8,15
8,16
8,20
8,26
9,2
9,4
9,17
9,21
10,3
10,6
10,9
10,13
10,17
10,18
10,19
10,26
11,6
11,7
11,10
11,14
11,17
11,18
11,20
11,27
12,7
12,11
12,12
12,14
12,18
13,9
13,12
13,13
13,15
13,23
14,10
14,13
14,15
14,24
14,25
15,1
15,6
15,14
15,16
15,25
15,26
16,1
16,2
16,7
16,12
16,17
16,18
16,23
16,24
16,25
17,2
17,13
17,19
17,24
17,25
17,26
18,0
18,13
18,14
18,19
18,20
18,25
19,1
19,2
19,14
19,15
19,18
19,20
19,21
19,23
19,26
20,3
20,9
20,11
20,12
20,18
20,19
20,20
20,21
20,24
21,1
21,3
21,8
21,10
21,11
21,12
21,13
21,17
21,18
21,19
21,21
21,25
22,2
22,4
22,9
22,11
22,12
22,18
22,19
23,3
23,9
23,10
23,12
23,14
23,17
23,18
23,22
23,24
24,1
24,4
24,10
24,11
24,15
24,18
24,19
24,20
24,22
24,23
24,24
24,25
25,1
25,2
25,6
25,10
25,11
25,12
25,15
25,16
25,19
25,21
25,23
25,25
25,26
26,0
26,2
26,3
26,4
26,7
26,9
26,11
26,12
26,13
26,16
26,24
26,27
26,28
27,1
27,5
27,8
27,10
27,12
27,13
27,25
